,"�?Key""""""",Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,asreview_label,asreview_time,asreview_note
177,KEUN4H4H,journalArticle,2025,"Zhang, Xiaomeng; Zhang, Naiqi; Xu, Xiaoyu; Wang, Haiquan; Cao, Jianhua",Optimal cutting point determination for robotic raspberry harvesting based on computer vision strategy,Multimedia Tools and Applications,,1573-7721,10.1007/s11042-025-20808-z,https://doi.org/10.1007/s11042-025-20808-z,"Due to the complexity of raspberry growth stages, their properties, and the environmental conditions, determining cutting points in real-time poses a significant challenge in developing agricultural robots for raspberry harvesting. In this paper, we introduce a set of visual techniques for real-time detection and segmentation of ripe raspberries and their associated stalks using an improved YOLOv8n network model, aiming to precisely determine the optimal cutting point. We first propose accurate and lightweight improved YOLOv8n algorithms for object detection. Our enhancements include adding a detection layer to the Head and integrating the Container (Context Aggregation Network) and CAA (Context Anchor Attention) modules into the backbone network. We constructed separate datasets for daytime and nighttime conditions using an RGB-D camera and trained the model individually for each scenario, resulting in distinct prediction models: YOLOv8n-day for daytime and YOLOv8n-night for nighttime. The final experimental results demonstrate that YOLOv8n-day achieves mAP@0.5 of 83.6% and precision of 81.0%, while YOLOv8n-night achieves mAP@0.5 of 93.4% and precision of 90.7%. Based on the object detection models and spatial information from RGB-D frames, we then choose the closest ripe raspberry as the picking target, with its stalk becoming the focus for subsequent harvesting operations. We have trained YOLOv8n-pose model to estimate the stalk’s 2D posture and YOLOv8-seg model to perform real-time segmentation of the fruit and the stalk. Finally, the optimal cutting point is determined by calculating the centroid of the target raspberry’s stalk segmentation mask, and the precise world coordinates are subsequently transmitted to the terminal cutting-execution system. We have implemented these strategies, including the models and software on NVIDIA Jetson Orin Nano 8 development kit and conducted on-site monitoring in a raspberry cultivation base. The results demonstrate satisfactory performances, providing solid support for subsequent robotic raspberry harvesting research.",01/10/2025,16/11/2025 09:07,16/11/2025 09:07,16/11/2025 09:07,41257-41276,,33,84,,Multimed Tools Appl,,,,,,,,en,,,,,Springer Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/11/2025 14:31,
124,FW6PBVM3,journalArticle,2024,"Cheng, Yawen; Ren, Ni; Hu, Anqi; Zhou, Lingli; Qi, Chao; Zhang, Shuo; Wu, Qian",An Improved 2D Pose Estimation Algorithm for Extracting Phenotypic Parameters of Tomato Plants in Complex Backgrounds,Remote Sensing,,2072-4292,10.3390/rs16234385,https://www.mdpi.com/2072-4292/16/23/4385,"Phenotypic traits, such as plant height, internode length, and node count, are essential indicators of the growth status of tomato plants, carrying significant implications for research on genetic breeding and cultivation management. Deep learning algorithms such as object detection and segmentation have been widely utilized to extract plant phenotypic parameters. However, segmentation-based methods are labor-intensive due to their requirement for extensive annotation during training, while object detection approaches exhibit limitations in capturing intricate structural features. To achieve real-time, efficient, and precise extraction of phenotypic traits of seedling tomatoes, a novel plant phenotyping approach based on 2D pose estimation was proposed. We enhanced a novel heatmap-free method, YOLOv8s-pose, by integrating the Convolutional Block Attention Module (CBAM) and Content-Aware ReAssembly of FEatures (CARAFE), to develop an improved YOLOv8s-pose (IYOLOv8s-pose) model, which efficiently focuses on salient image features with minimal parameter overhead while achieving a superior recognition performance in complex backgrounds. IYOLOv8s-pose manifested a considerable enhancement in detecting bending points and stem nodes. Particularly for internode detection, IYOLOv8s-pose attained a Precision of 99.8%, exhibiting a significant improvement over RTMPose-s, YOLOv5s6-pose, YOLOv7s-pose, and YOLOv8s-pose by 2.9%, 5.4%, 3.5%, and 5.4%, respectively. Regarding plant height estimation, IYOLOv8s-pose achieved an RMSE of 0.48 cm and an rRMSE of 2%, and manifested a 65.1%, 68.1%, 65.6%, and 51.1% reduction in the rRMSE compared to RTMPose-s, YOLOv5s6-pose, YOLOv7s-pose, and YOLOv8s-pose, respectively. When confronted with the more intricate extraction of internode length, IYOLOv8s-pose also exhibited a 15.5%, 23.9%, 27.2%, and 12.5% reduction in the rRMSE compared to RTMPose-s, YOLOv5s6-pose, YOLOv7s-pose, and YOLOv8s-pose. IYOLOv8s-pose achieves high precision while simultaneously enhancing efficiency and convenience, rendering it particularly well suited for extracting phenotypic parameters of tomato plants grown naturally within greenhouse environments. This innovative approach provides a new means for the rapid, intelligent, and real-time acquisition of plant phenotypic parameters in complex backgrounds.",24/11/2024,14/11/2025 15:57,14/11/2025 16:30,14/11/2025 16:30,4385,,23,16,,Remote Sensing,,,,,,,,en,,,,,DOI.org (Crossref),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/11/2025 14:31,
193,ULLZBAF4,journalArticle,2025,"Kang, Seung-Woo; Kim, Kyoung-Chul; Kim, Yong-Joo; Lee, Dae-Hyun",Real-time pose estimation of oriental melon fruit-pedicel pairs using weakly localized fruit regions via class activation map,Computers and Electronics in Agriculture,,0168-1699,10.1016/j.compag.2025.110734,https://www.sciencedirect.com/science/article/pii/S0168169925008403,"Fruit pose is an important trait for robotic harvesting that provides not only control information for the robot arm but also indicates whether the fruit can be harvested. A pair of fruit and pedicel has been frequently used as the target object for estimating the fruit pose, and the pose estimation of multiple fruit-pedicel pairs within an image is also being focused on in current research to determine the targets to be harvested efficiently. The multi-fruit pose estimation is performed based on accurate object detection that requires a large amount of training data for feature representation of the object, especially pedicel, in complex background; however, there are spatio-temporal constraints in collecting various fruit-pedicel images, and precise labelling is a laborious task. Easier feature representation for localization can reduce model complexity and data-scale dependency. In this study, multi-fruit pose estimation of oriental melon was proposed, which includes a weakly fruit localization that reduces labelling effort while providing the fruit region containing the essential information for estimation of fruit-pedicel pose. The framework consists of a weak supervision-based localization and pose estimation models connected in sequence. The fruit regions are simultaneously and approximately localized, and each of these regions is then fed sequentially to the pose estimation. The proposed method has the advantage of being able to use a smaller model than existing models, which allows for achieving performance even with a small data scale and also improving real-time performance. The results showed that, compared to YOLO-pose models, our method achieved up to 0.23 higher PDK scores and exhibited an inference speed improvement of up to 8 fps. Our method minimized the effort required for localization and improved speed while demonstrating performance comparable to existing studies.",01/10/2025,19/11/2025 07:14,19/11/2025 07:14,19/11/2025 07:14,110734,,,237,,Computers and Electronics in Agriculture,,,,,,,,,,,,,ScienceDirect,,,,E:\Zotero\storage\X4HDYI5C\S0168169925008403.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22/11/2025 14:31,
99,85HCGHEQ,journalArticle,2024,"Shen, Xiaojun; Shao, Chaofan; Cheng, Danyi; Yao, Lili; Zhou, Cheng",YOLOv5-POS: research on cabbage pose prediction method based on multi-task perception technology,Frontiers in Plant Science,,1664-462X,10.3389/fpls.2024.1455687,https://www.frontiersin.org/articles/10.3389/fpls.2024.1455687/full,"Introduction               Accurate and rapid identification of cabbage posture is crucial for minimizing damage to cabbage heads during mechanical harvesting. However, due to the structural complexity of cabbages, current methods encounter challenges in detecting and segmenting the heads and roots. Therefore, exploring efficient cabbage posture prediction methods is of great significance.                                         Methods               This study introduces YOLOv5-POS, an innovative cabbage posture prediction approach. Building on the YOLOv5s backbone, this method enhances detection and segmentation capabilities for cabbage heads and roots by incorporating C-RepGFPN to replace the traditional Neck layer, optimizing feature extraction and upsampling strategies, and refining the C-Seg segmentation head.  Additionally, a cabbage root growth prediction model based on Bézier curves is proposed, using the geometric moment method for key point identification and the anti-gravity stem-seeking principle to determine root-head junctions. It performs precision root growth curve fitting and prediction, effectively overcoming the challenge posed by the outer leaves completely enclosing the cabbage root stem.                                         Results and discussion               YOLOv5-POS was tested on a multi-variety cabbage dataset, achieving an F1 score of 98.8% for head and root detection, with an instance segmentation accuracy of 93.5%. The posture recognition model demonstrated an average absolute error of 1.38° and an average relative error of 2.32%, while the root growth prediction model reached an accuracy of 98%. Cabbage posture recognition was completed within 28 milliseconds, enabling real-time harvesting. The enhanced model effectively addresses the challenges of cabbage segmentation and posture prediction, providing a highly accurate and efficient solution for automated harvesting, minimizing crop damage, and improving operational efficiency.",23/09/2024,14/11/2025 15:56,14/11/2025 16:29,14/11/2025 16:29,1455687,,,15,,Front. Plant Sci.,YOLOv5-POS,,,,,,,,,,,,DOI.org (Crossref),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/11/2025 14:34,Keypoint detection by post-processing
261,KC4UZ6U4,journalArticle,2024,"Wang, Xiaoming; Wu, Zhenlong; Fang, Cheng",TeaPoseNet: A deep neural network for tea leaf pose recognition,Computers and Electronics in Agriculture,,0168-1699,10.1016/j.compag.2024.109278,https://www.sciencedirect.com/science/article/pii/S0168169924006690,"The estimation of tea leaf pose is an emerging research topic. Recognising the morphological features of tea leaves can help accurately categorise, grade, and determine their level of maturity. Therefore, this study proposes a deep neural network, TeaPoseNet, to estimate tea leaf poses. The algorithm was trained and validated using a dataset of one-bud-one-leaf images of Yinghong No.9 tea leaves and was compared with four other pose estimation networks. At the same time, the contribution of TKS_NMS to the algorithm was validated through ablation experiments. The results indicate that TKS_NMS improved the EPE accuracy of pose recognition by 16.33 %. More specifically, the algorithm achieved a good overall performance, with PCK, AUC, EPE, and NME reaching 0.9800, 0.8147, 9.0955, and 0.0644, respectively. The average running speed for detecting the pose of a single tea leaf image was 40.01 ms. To the best of our knowledge, this is the first application of pose estimation technology to the detection and analysis of Yinghong No.9 tea leaves. The results show that the proposed algorithm can effectively estimate the pose of tea leaves, thus providing a reference for subsequent tea research.",01/10/2024,19/11/2025 13:00,19/11/2025 13:00,19/11/2025 13:00,109278,,,225,,Computers and Electronics in Agriculture,TeaPoseNet,,,,,,,,,,,,ScienceDirect,,,,E:\Zotero\storage\UH43HE2S\S0168169924006690.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22/11/2025 14:34,
94,7RGDDC98,journalArticle,2023,"Yan, Jin; Liu, Yong; Zheng, Deshuai; Xue, Tao",Grasping and cutting points detection method for the harvesting of dome-type planted pumpkin using transformer network-based instance segmentation architecture,Frontiers in Plant Science,,1664-462X,10.3389/fpls.2023.1063996,https://www.frontiersin.org/articles/10.3389/fpls.2023.1063996/full,"An accurate and robust keypoint detection method is vital for autonomous harvesting systems. This paper proposed a dome-type planted pumpkin autonomous harvesting framework with keypoint (grasping and cutting points) detection method using instance segmentation architecture. To address the overlapping problem in agricultural environment and improve the segmenting precision, we proposed a pumpkin fruit and stem instance segmentation architecture by fusing transformer and point rendering. A transformer network is utilized as the architecture backbone to achieve a higher segmentation precision and point rendering is applied so that finer masks can be acquired especially at the boundary of overlapping areas. In addition, our keypoint detection algorithm can model the relationships among the fruit and stem instances as well as estimate grasping and cutting keypoints. To validate the effectiveness of our method, we created a pumpkin image dataset with manually annotated labels. Based on the dataset, we have carried out plenty of experiments on instance segmentation and keypoint detection. Pumpkin fruit and stem instance segmentation results show that the proposed method reaches the mask mAP of 70.8% and box mAP of 72.0%, which brings 4.9% and 2.5% gains over the state-of-the-art instance segmentation methods such as Cascade Mask R-CNN. Ablation study proves the effectiveness of each improved module in the instance segmentation architecture. Keypoint estimation results indicate that our method has a promising application prospect in fruit picking tasks.",18/04/2023,14/11/2025 15:56,14/11/2025 16:28,14/11/2025 16:28,1063996,,,14,,Front. Plant Sci.,,,,,,,,,,,,,DOI.org (Crossref),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22/11/2025 14:36,
236,79LHQCA2,journalArticle,2025,"Gao, Yuliang; Li, Zhen; Hong, Qingqing; Li, Bin; Zhang, Lifeng",Corn pose estimation using 3D object detection and stereo images,Computers and Electronics in Agriculture,,0168-1699,10.1016/j.compag.2025.110016,https://www.sciencedirect.com/science/article/pii/S016816992500122X,"Corn is an important staple crop. Obtaining the pose and dimensions of corn is key for automating corn cultivation, mainly using robotic arms or similar devices to perform precise operations, such as pesticide spraying, measurement, or precise picking. In this study, the Stereo-Corn-Pose Detection (SCPD) algorithm was proposed, which used three dimensional (3D) object detection to obtain the pose and dimensions of corn with stereo images. This algorithm includes pitch angle detection, which is absent in traditional 3D object detection. The SCPD algorithm consists of two models: the union box detection model, FCOS-Stereo, based on the anchor-free network FCOSNet, and the 3D bounding box regression model, Cross-Stereo-EfficientFormer. This regression model incorporates a cross-attention mechanism into EfficientFormer to extract and fuse features effectively. This work constructed a dataset comprising 2,700 samples for training and 300 samples for testing. In the test set, this work achieved a union bounding box mAP of 85.3%, representing a 3.5% improvement over the original FCOSNet model. It also achieved 88.3% AP3D and 85.6% APBEV for 3D bounding box regression, making increases of 5% and 4.7%, respectively, compared to the traditional 3D object detection method, IDA-3D. The results indicate an accuracy of approximately 91% in detecting corn dimensions and pose. Therefore, the SCPD algorithm offers a novel framework for obtaining the 3D dimensions and pose of corn and promotes precision and smart agriculture for corn cultivation.",01/04/2025,19/11/2025 08:08,19/11/2025 08:08,19/11/2025 08:08,110016,,,231,,Computers and Electronics in Agriculture,,,,,,,,,,,,,ScienceDirect,,,,E:\Zotero\storage\2ICVIRWZ\S016816992500122X.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22/11/2025 21:38,
62,TVX968XE,journalArticle,2023,"Lu, Ange; Ma, Lingzhi; Cui, Hao; Liu, Jun; Ma, Qiucheng",Instance Segmentation of Lotus Pods and Stalks in Unstructured Planting Environment Based on Improved YOLOv5,Agriculture,,2077-0472,10.3390/agriculture13081568,https://www.mdpi.com/2077-0472/13/8/1568,"Accurate segmentation of lotus pods and stalks with pose variability is a prerequisite for realizing the robotic harvesting of lotus pods. However, the complex growth environment of lotus pods causes great difficulties in conducting the above task. In this study, an instance segmentation model, LPSS-YOLOv5, for lotus pods and stalks based on the latest YOLOv5 v7.0 instance segmentation model was proposed. The CBAM attention mechanism was integrated into the network to improve the model’s feature extraction ability. The scale distribution of the multi-scale feature layer was adjusted, a 160 × 160 small-scale detection layer was added, and the original 20 × 20 large-scale detection layer was removed, which improved the model’s segmentation accuracy for small-scale lotus stalks and reduced the model size. On the medium-large scale test set, LPSS-YOLOv5 achieved a mask mAP0.5 of 99.3% for all classes. On the small-scale test set, the mAP0.5 for all classes and AP0.5 for stalks were 88.8% and 83.3%, which were 2.6% and 5.0% higher than the baseline, respectively. Compared with the mainstream Mask R-CNN and YOLACT models, LPSS-YOLOv5 showed a much higher segmentation accuracy, speed, and smaller size. The 2D and 3D localization tests verified that LPSS-YOLOv5 could effectively support the picking point localization and the pod–stalk affiliation confirmation.",06/08/2023,14/11/2025 15:55,14/11/2025 16:27,14/11/2025 16:27,1568,,8,13,,Agriculture,,,,,,,,en,,,,,DOI.org (Crossref),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22/11/2025 21:39,
240,4Q6QUUNU,conferencePaper,2023,"Wang, Meng; Xu, Jing; Wang, Minquan; Liang, Renghao; Cheng, Wenming; Ding, Wenhui",Research on detection and location of tomato axillary bud growth point via lightweight YOLOv3 model,2023 IEEE 7th Information Technology and Mechatronics Engineering Conference (ITOEC),,,10.1109/ITOEC57671.2023.10291635,https://ieeexplore.ieee.org/document/10291635,"The removal of tomato axillary buds is of great significance for improving fruit yield and quality. In response to the current lack of effective identification and localization of tomato axillary bud growth points, a growth point detection and localization method based on lightweight YOLOv3 is proposed. Improve the traditional YOLOv3 model architecture and introduce the lightweight recognition model MobileNet to replace the YOLOv3 feature extraction network, ensuring detection accuracy while improving detection speed. Replacing some standard convolutions with deep separable convolutions reduces model parameters without compromising network performance. The comparative experimental results show that the average recognition accuracy of the improved YOLOv3 model has been effectively improved, reducing the detection time of each image, and reducing the number of parameters and weight files compared to the original model. This will help to achieve detection and localization of tomato axillary bud growth points on airborne low-performance terminals in the future.",2023-09,19/11/2025 08:10,19/11/2025 08:10,19/11/2025 08:10,2424-2429,,,7,,,,,,,,,,,,,,,IEEE Xplore,,ISSN: 2693-289X,,E:\Zotero\storage\2XBGYQSV\10291635.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023 IEEE 7th Information Technology and Mechatronics Engineering Conference (ITOEC),,,,,,,,,,,,,,,,0,22/11/2025 21:39,
178,GI35PW5T,journalArticle,2021,"Sun, Qixin; Chai, Xiujuan; Zeng, Zhikang; Zhou, Guomin; Sun, Tan",Multi-level feature fusion for fruit bearing branch keypoint detection,Computers and Electronics in Agriculture,,0168-1699,10.1016/j.compag.2021.106479,https://www.sciencedirect.com/science/article/pii/S0168169921004968,"Automated orchard operation has been a firm goal of fruit farmers for a long time. Deep learning-based approaches have been widely used to improve the performance of fruit detection, branch pruning, production estimating and other agricultural operations. This paper proposes a novel method to detect keypoint on the branch, which enables branch pruning during fruit picking. Specifically, a top-down framework for bearing branch keypoint detection is developed. First, a candidate area is generated according to the fruit-growing position and the fruit stem keypoint detection, which provides an attention region for further keypoint detection. Second, a multi-level feature fusion network which combines features in the same spatial sizes (intra-level) and from different spatial sizes (inter-level) is proposed to detect keypoint within the candidate area. The network can learn the spatial and semantic information and model the relationship among bearing branch keypoints. In addition, this paper constructs a citrus bearing branch dataset, which contributes to comprehensively evaluating the proposed method. Evaluation metrics on the dataset indicate the proposed method reaches an AP of 77.4% and an accuracy score of 84.7% with smaller model size and lower computing power consumption, which significantly outperforms several state-of-the-art keypoint detection methods. This study provides the possibility and foundation for performing automatic branch pruning during fruit harvesting.",01/12/2021,16/11/2025 09:08,16/11/2025 09:08,16/11/2025 09:08,106479,,,191,,Computers and Electronics in Agriculture,,,,,,,,,,,,,ScienceDirect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22/11/2025 21:40,
309,X5KKSCYQ,journalArticle,2025,"Li, Xingxu; Han, Yiheng; Ma, Nan; Liu, Yongjin; Pan, Jia; Yang, Shun; Zheng, Siyi",Autonomous Tomato Harvesting With Top–Down Fusion Network for Limited Data,IEEE Transactions on Robotics,,1941-0468,10.1109/TRO.2025.3567544,https://ieeexplore.ieee.org/document/10989552,"Using robots for tomato truss harvesting represents a promising approach to agricultural production. However, incomplete acquisition of perception information and clumsy operations often results in low harvest success rates or crop damage. To addressthis issue, we designed a new method for tomato truss perception, an autonomous harvesting method, and a novel circular rotary cutting end-effector. The robot performs object detection and keypoint detection on tomato trusses using the proposed top–down fusion network, making decisions on suitable targets for harvesting based on phenotyping and pose estimation. The designed end-effector moves gradually from the bottom up to wrap around the tomato truss, cutting the peduncle to complete the harvest. Experiments conducted in real-world scenarios for robotic perception and autonomous harvesting of tomato trusses show that the proposed method increases accuracy by up to 11.42% and 22.29% for complete and limited dataset conditions, compared to baseline models. Furthermore, we have implemented an automatic tomato harvesting system based on TDFNet, which reaches an average harvest success rate of 89.58% in the greenhouse.",2025,20/11/2025 21:46,20/11/2025 21:46,20/11/2025 21:46,3609-3628,,,41,,,,,,,,,,,,,,,IEEE Xplore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22/11/2025 21:40,
147,QKLU3K99,journalArticle,2025,"Meng, Zhichao; Du, Xiaoqiang; Sapkota, Ranjan; Ma, Zenghong; Cheng, Hongchao",YOLOv10-pose and YOLOv9-pose: Real-time strawberry stalk pose detection models,Computers in Industry,,0166-3615,10.1016/j.compind.2024.104231,https://www.sciencedirect.com/science/article/pii/S0166361524001593,"In the computer-aided industry, particularly within the domain of agricultural automation, fruit pose detection is critical for optimizing efficiency across various applications such as robotic harvesting, aerial crop surveillance, precision pruning, and automated sorting. These technologies enhance productivity and precision, addressing challenges posed by an aging labor force and the increasing demand for sophisticated robotic applications in agriculture. This is particularly crucial for strawberries, which are globally recognized for their high nutritional value. The strawberry pickting robots generally cut the stems, so knowing the pose of the strawberry stalks before cutting can effectively adjust the pose of the end effector, thereby improving the success rate of picking. This paper referred to the keypoint detection branch and loss function of the YOLOv8-pose model, and combined the latest YOLOv9 and YOLOv10 object detection models to propose YOLOv9-pose and YOLOv10-pose. The experimental results showed that YOLOv9-base-pose had the best comprehensive performance, reaching 0.962 in Box_mAP50 and 0.914 in Pose_mAP50, and the speed met the real-time requirement of FPS 51. The entire YOLOv10-pose series did not achieve satisfactory accuracy, but not using non-maximum suppression did indeed speed up the post-processing. In the YOLOv10-pose series, YOLOv10m-pose achieved the best comprehensive performance with Box_mAP50 of 0.954, Pose_ mAP50 of 0.903, and a speed of 61 FPS. Comparing YOLOv9-base-pose with the entire series of YOLOv8-pose and YOLOv5-pose also demonstrated the superior performance of YOLOv9-base-pose. YOLOv9-pose and YOLOv10-pose can provide a theoretical basis for pose detection and a reference for other similar fruit pose detection.",01/02/2025,14/11/2025 21:28,14/11/2025 21:28,14/11/2025 21:28,104231,,,165,,Computers in Industry,YOLOv10-pose and YOLOv9-pose,,,,,,,,,,,,ScienceDirect,,,,E:\Zotero\storage\MR7AKT35\S0166361524001593.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22/11/2025 21:41,
185,3DUFE684,journalArticle,2024,"Ci, Jianchao; Wang, Xin; Rapado-Rincón, David; Burusa, Akshay K.; Kootstra, Gert",3D pose estimation of tomato peduncle nodes using deep keypoint detection and point cloud,Biosystems Engineering,,1537-5110,10.1016/j.biosystemseng.2024.04.017,https://www.sciencedirect.com/science/article/pii/S1537511024000989,"Greenhouse production of fruits and vegetables in developed countries is challenged by labour scarcity and high labour costs. Robots offer a good solution for sustainable and cost-effective production. Acquiring accurate spatial information about relevant plant parts is vital for successful robot operation. Robot perception in greenhouses is challenging due to variations in plant appearance, viewpoints, and illumination. This paper proposes a keypoint-detection-based method using data from an RGB-D camera to estimate the 3D pose of peduncle nodes, which provides essential information to harvest the tomato bunches. Specifically, this paper proposes a method that detects four anatomical landmarks in the colour image and then integrates 3D point-cloud information to determine the 3D pose. A comprehensive evaluation was conducted in a commercial greenhouse to gain insight into the performance of different parts of the method. The results showed: (1) high accuracy in object detection, achieving an Average Precision (AP) of AP@0.5=0.96; (2) an average Percentage of Detected Joints (PDJ) of the keypoints of PhDJ@0.2 = 94.31%; and (3) 3D pose estimation accuracy with mean absolute errors (MAE) of 11o and 10o for the relative upper and lower angles between the peduncle and main stem, respectively. Furthermore, the capability to handle variations in viewpoint was investigated, demonstrating the method was robust to view changes. However, canonical and higher views resulted in slightly higher performance compared to other views. Although tomato was selected as a use case, the proposed method has the potential to be applied to other greenhouse crops, such as pepper, after fine-tuning.",01/07/2024,16/11/2025 16:24,16/11/2025 16:24,16/11/2025 16:24,57-69,,,243,,Biosystems Engineering,,,,,,,,,,,,,ScienceDirect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22/11/2025 21:41,
234,2KXT9KV2,journalArticle,2023,"Du, Xiaoqiang; Meng, Zhichao; Ma, Zenghong; Lu, Wenwu; Cheng, Hongchao",Tomato 3D pose detection algorithm based on keypoint detection and point cloud processing,Computers and Electronics in Agriculture,,0168-1699,10.1016/j.compag.2023.108056,https://www.sciencedirect.com/science/article/pii/S0168169923004441,"Tomatoes are widely grown all over the world and are one of the favourite vegetables of humanity. Tomato harvesting requires a lot of labor. With the aging population and the increasing demand for tomatoes, it is imminent to develop tomato picking robots. In the picking environment with a complex background, a 3D pose of the target is essential. It can provide guidance for robotic arm attitude and obstacle avoidance during picking. In this paper, a tomato pose detection algorithm (TPD) is proposed for 3D pose detection of a single fruit of clustered tomato. The TPD algorithm is divided into two modules: YOLO-lmk model and the point cloud processing module. By analyzing the network structure, optimizing parameters, optimizing loss function, adding attention mechanism and adding keypoint prediction, a YOLO-lmk model with YOLO v5s as the core is proposed to realize tomato bounding box and keypoint detection. The point cloud processing module is composed of point cloud segmentation, voxel downsampling, removing outliers, Euclidean color clustering, RANSAC sphere fitting, and keypoint index. As the experimental results show, YOLO-lmk model bounding box mAP is 92.9%, dlmk is 7.9, FLoating point Operations (FLOPs) is 16.6B, and speed is 0.062 s/sheet. The dlmk represents the Euclidean distance between true keypoints and predicted keypoints. Compared with YOLO v5s, mAP is increased 1.8%, and FLOPs is increased only 0.1B. The point cloud processing module only takes 0.028 s to complete a tomato 3D pose detection, which is fast. The accuracy of the TPD algorithm in detecting tomatoes is 93.4%, and the time cost is 0.09 s for detecting one tomato. The TPD algorithm can provide a theoretical basis for tomato 3D pose detection, and provide a reference for other fruits (pears, citrus, apples) 3D pose detection.",01/09/2023,19/11/2025 08:07,19/11/2025 08:07,19/11/2025 08:07,108056,,,212,,Computers and Electronics in Agriculture,,,,,,,,,,,,,ScienceDirect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22/11/2025 21:41,
328,B4UMGWFQ,journalArticle,2025,"Rui, Zhaoyu; Zhang, Zhao; Hao, Cunming; Igathinathane, C.; Azizi, Afshin; Wu, Xiaofei; Zhang, Man; Abid, Fazeel; Javidan, Seyed Mohamad",Development and field evaluation of a straddle-frame honeysuckle harvesting robot,Biosystems Engineering,,1537-5110,10.1016/j.biosystemseng.2025.104234,https://www.sciencedirect.com/science/article/pii/S1537511025001709,"Honeysuckle (Lonicera japonica L.) holds significant economic value due to its traditional medicinal applications. However, the lack of modern mechanical harvesting methods renders the honeysuckle harvesting approach still manual. Increasing labour costs and a diminishing labour pool significantly increase the production cost of honeysuckles, potentially jeopardising sustainable production. Therefore, a straddle-frame honeysuckle-picking robot, which consists of a customised electric platform and gripper, was developed and field-tested. A rotatable two degrees-of-freedom gripping end-effector was designed to adapt to different honeysuckle orientations. The YOLOv8-pose algorithm was employed to detect picking points and ascertain flower orientation. This algorithm uses the keypoint located at the upper part of the honeysuckle as the picking point, thereby ensuring accurate positioning while simultaneously detecting the angle of the connecting line between the bud head and tail relative to the horizontal line and accordingly adjusting the rotation of the gripping finger. The model demonstrated robust performance in natural field environments, achieving 0.96 precision, 0.85 recall, 0.90 F1-score, and 4.97° mean absolute error. Test results at various picking points indicated that the damage rate incurred when picking the honeysuckle in the bud's middle was about 20°%, while picking at the head resulted in minimal or no damage. For the picking performance evaluation experiment, a dataset of 2°06 honeysuckles was tested, resulting in a success rate of 66.8 %, a damage rate of 9.6°%, a positioning accuracy of 68.5°%, and average time to harvest one honeysuckle of 4.9 s. The developed honeysuckle harvest robot presents a promising solution for the automated harvesting of honeysuckle.",01/09/2025,21/11/2025 17:29,21/11/2025 17:29,21/11/2025 17:29,104234,,,257,,Biosystems Engineering,,,,,,,,,,,,,ScienceDirect,,,,E:\Zotero\storage\UJC42WFK\S1537511025001709.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22/11/2025 21:42,
